Fecha_Local,Hora_Local,Latitud,Longitud,Prof_km,Mag,Intensidad,Localidad
15/09/2017,06:07:53,-10.29,-78.62,46,4.3,II,Huarmey
15/09/2017,05:05:22,-11.91,-76.33,10,3.5,II,Matucana
15/09/2017,00:09:47,-11.91,-76.33,14,3.8,III,Matucana
14/09/2017,23:10:36,-11.9,-76.32,12,4.3,III-IV,Matucana
14/09/2017,22:54:41,-11.85,-76.3,11,3.6,II-III,Matucana
14/09/2017,22:48:08,-11.88,-76.32,12,4,III,Matucana
14/09/2017,21:45:53,-11.9,-76.33,12,3.4,II,Matucana
14/09/2017,14:37:02,-11.9,-76.32,14,3.5,II,Matucana
14/09/2017,13:22:55,-11.9,-76.33,17,3.5,II,Matucana
14/09/2017,11:05:08,-11.89,-76.32,13,3.3,II,Matucana
14/09/2017,07:22:23,-11.86,-76.35,10,3.3,II,Matucana
14/09/2017,07:21:21,-11.89,-76.31,16,3.4,II,Matucana
14/09/2017,04:53:28,-11.9,-76.33,12,3.5,II,Matucana
14/09/2017,03:26:46,-11.9,-76.33,10,4,II-III,Matucana
14/09/2017,03:24:49,-11.9,-76.33,13,4.1,III,Matucana
14/09/2017,03:19:23,-11.9,-76.33,11,4.8,V,Matucana
13/09/2017,11:36:40,-15.64,-72.16,12,3.5,II,Choco
11/09/2017,07:24:48,-12.42,-76.66,92,4.1,II-III,Chilca
10/09/2017,20:42:06,-4.54,-79.65,25,4,II,Ayabaca
5/09/2017,03:20:10,-16.78,-70.64,9,3.6,II,Carumas
4/09/2017,16:55:18,-19.39,-70.37,66,5.3,III,Tacna
4/09/2017,06:56:12,-8.94,-78.61,91,4.7,III,Chimbote
3/09/2017,10:14:01,-12.19,-76.88,56,3.8,II,Lima
2/09/2017,10:29:04,-9.33,-76.89,139,4.2,II,Huanuco
28/08/2017,02:20:56,-13.51,-70.36,8,5.2,VI,Ollachea
27/08/2017,23:41:13,-17.64,-69.95,9,3.6,II,Tarata
24/08/2017,15:03:49,-15.67,-71.88,10,4.3,IV,Pinchollo
24/08/2017,04:24:46,-6.5,-81.11,11,4.4,II,Sechura
23/08/2017,06:57:25,-15.36,-74.14,88,5,II-III,Pullo
22/08/2017,19:48:45,-12.22,-76.89,71,4,II,Lima
